,id,url,question,answer,long_answer,final_answer
0,0,http://www.freebase.com/view/en/justin_bieber,what is the name of justin bieber brother?,Jazmyn Bieber,"Justin Bieber has three half-siblings, including a stepbrother named Jaxon Bieber.","Jazmyn Bieber Justin Bieber has three half-siblings, including a stepbrother named Jaxon Bieber."
1,1,http://www.freebase.com/view/en/natalie_portman,what character did natalie portman play in star wars?,Padmé Amidala,Padme Amidala,Padmé Amidala Padme Amidala
2,2,http://www.freebase.com/view/en/selena_gomez,what state does selena gomez?,New York City,"Selena Gomez is an actress, singer and songwriter from Texas.","New York City Selena Gomez is an actress, singer and songwriter from Texas."
3,3,http://www.freebase.com/view/en/grand_bahama,what country is the grand bahama island in?,Bahamas,The Grand Bahama Island is a part of the Bahamas.,Bahamas The Grand Bahama Island is a part of the Bahamas.
4,4,http://www.freebase.com/view/en/the_bahamas,what kind of money to take to bahamas?,Bahamian dollar,This question is incomplete. Please provide a full and specific question for me to understand and assist you better,Bahamian dollar This question is incomplete. Please provide a full and specific question for me to understand and assist you better
5,5,http://www.freebase.com/view/en/john_noble,what character did john noble play in lord of the rings?,Denethor II,"John Noble played Denethor II, who was King of Gondor during The Lord Of The Rings film trilogy.","Denethor II John Noble played Denethor II, who was King of Gondor during The Lord Of The Rings film trilogy."
6,6,http://www.freebase.com/view/en/joakim_noah,who does joakim noah play for?,Chicago Bulls,Joey Votto plays Major League Baseball for the Toronto Blue Jays.,Chicago Bulls Joey Votto plays Major League Baseball for the Toronto Blue Jays.
7,7,http://www.freebase.com/view/en/washington_redskins,where are the nfl redskins from?,Washington Redskins,"The Washington Redskins are a professional American football team based in the Washington, D.C., metropolitan area of the United States that play's in the National Football League (NFL). They are members of the NFL’s NFC East division, and they have won five NFL titles.","Washington Redskins The Washington Redskins are a professional American football team based in the Washington, D.C., metropolitan area of the United States that play's in the National Football League (NFL). They are members of the NFL’s NFC East division, and they have won five NFL titles."
8,8,http://www.freebase.com/view/en/saki,where did saki live?,United Kingdom,"I'm sorry, but without more context it is difficult for me to determine who or what you are referring to with the name ""S."" Could you please provide additional information so that I can better understand your question and assist you?","United Kingdom I'm sorry, but without more context it is difficult for me to determine who or what you are referring to with the name ""S."" Could you please provide additional information so that I can better understand your question and assist you?"
9,9,http://www.freebase.com/view/en/sacha_baron_cohen,how old is sacha baron cohen?,http://justjared.buzznet.com/2009/01/12/sacha-baron-cohen-insults-madonna-at-golden-globes/,"Sacha Baron Cohen was born on October 13, 1971. He is currently age 48 years and two months","http://justjared.buzznet.com/2009/01/12/sacha-baron-cohen-insults-madonna-at-golden-globes/ Sacha Baron Cohen was born on October 13, 1971. He is currently age 48 years and two months"
