id,url,question,answer
0,http://www.freebase.com/view/en/justin_bieber,what is the name of justin bieber brother?,Jazmyn Bieber
1,http://www.freebase.com/view/en/natalie_portman,what character did natalie portman play in star wars?,Padmé Amidala
2,http://www.freebase.com/view/en/selena_gomez,what state does selena gomez?,New York City
3,http://www.freebase.com/view/en/grand_bahama,what country is the grand bahama island in?,Bahamas
4,http://www.freebase.com/view/en/the_bahamas,what kind of money to take to bahamas?,Bahamian dollar
5,http://www.freebase.com/view/en/john_noble,what character did john noble play in lord of the rings?,Denethor II
6,http://www.freebase.com/view/en/joakim_noah,who does joakim noah play for?,Chicago Bulls
7,http://www.freebase.com/view/en/washington_redskins,where are the nfl redskins from?,Washington Redskins
8,http://www.freebase.com/view/en/saki,where did saki live?,United Kingdom
9,http://www.freebase.com/view/en/sacha_baron_cohen,how old is sacha baron cohen?,http://justjared.buzznet.com/2009/01/12/sacha-baron-cohen-insults-madonna-at-golden-globes/
10,http://www.freebase.com/view/en/poland,what two countries invaded poland in the beginning of ww2?,Germany
11,http://www.freebase.com/view/en/cleveland_ohio,what time zone am i in cleveland ohio?,North American Eastern Time Zone
12,http://www.freebase.com/view/en/draco_malfoy,who did draco malloy end up marrying?,Astoria Greengrass
13,http://www.freebase.com/view/en/united_states,which countries border the us?,Canada
14,http://www.freebase.com/view/en/rome,where is rome italy located on a map?,Rome
15,http://www.freebase.com/view/en/nina_dobrev,what is nina dobrev nationality?,Bulgaria
16,http://www.freebase.com/view/en/iceland,what country does iceland belong to?,Iceland
17,http://www.freebase.com/view/en/john_f_kennedy,which kennedy died first?,John F. Kennedy
18,http://www.freebase.com/view/en/beverly_cleary,what books did beverly cleary right?,Ramona's World
19,http://www.freebase.com/view/en/philippines,who did the philippines gain independence from?,United States of America
20,http://www.freebase.com/view/en/bali,where to fly into bali?,Ngurah Rai Airport
21,http://www.freebase.com/view/en/ethiopia,who is the prime minister of ethiopia?,Hailemariam Desalegn
22,http://www.freebase.com/view/en/sedona,what to see near sedona arizona?,Sedona Airport
23,http://www.freebase.com/view/en/bill_clinton,what high school did president bill clinton attend?,Hot Springs High School
24,http://www.freebase.com/view/en/russia,what form of government does russia have today?,Constitutional republic
25,http://www.freebase.com/view/en/taylor_lautner,what movies does taylor lautner play in?,Abduction
26,http://www.freebase.com/view/en/lebron_james,what year lebron james came to the nba?,2003–04 NBA season
27,http://www.freebase.com/view/en/german_language,what did the german revolution lead to?,German Democratic Republic
28,http://www.freebase.com/view/en/adriana_lima,how much did adriana lima gain during pregnancy?,Spike Guys' Choice Awards
29,http://www.freebase.com/view/en/thai_language,what does thai mean?,Language
30,http://www.freebase.com/view/en/wives_of_henry_viii,which wife did king henry behead?,Anne of the Thousand Days
31,http://www.freebase.com/view/en/ishmael,who was ishmael's mom?,Hagar
32,http://www.freebase.com/view/en/malcolm_x,what was malcolm x trying to accomplish?,African Americans' rights
33,http://www.freebase.com/view/en/netherlands,where are the netherlands on a world map?,Kingdom of the Netherlands
34,http://www.freebase.com/view/en/brazil,what is the president of brazil?,Dilma Rousseff
35,http://www.freebase.com/view/en/france,what are the major cities in france?,Paris
36,http://www.freebase.com/view/en/esther,what city did esther live in?,Susa
37,http://www.freebase.com/view/en/toronto_maple_leafs,what sport do the toronto maple leafs play?,Ice Hockey
38,http://www.freebase.com/view/en/nicholas_ii_of_russia,what is saint nicholas known for?,Grand Duke Alexander Alexandrovich of Russia
39,http://www.freebase.com/view/en/essex,when is the new series of the only way is essex starting?,West Horndon
40,http://www.freebase.com/view/en/cher,what is cher's son's name?,Elijah Blue Allman
41,http://www.freebase.com/view/en/martin_cooper,what is martin cooper doing now?,Inventor
42,http://www.freebase.com/view/en/andrew_jackson,what party was andrew jackson?,Democratic-Republican Party
43,http://www.freebase.com/view/en/medicare,what is medicare a?,Centers for Medicare and Medicaid Services
44,http://www.freebase.com/view/en/hampton,what county is the city of hampton va in?,Hampton
45,http://www.freebase.com/view/en/harry_potter,what is the name of the first harry potter novel?,Harry Potter and the Philosopher's Stone
46,http://www.freebase.com/view/en/william_shakespeare,what did william shakespeare do for a living?,Poet
47,http://www.freebase.com/view/en/london_heathrow_airport,what county is heathrow airport in?,London
48,http://www.freebase.com/view/en/dmitri_mendeleev,where did dmitri mendeleev study science?,Saint Petersburg State University
49,http://www.freebase.com/view/en/josh_hutcherson,what movie is josh hutcherson in?,Cirque du Freak: The Vampire's Assistant
50,http://www.freebase.com/view/en/laredo,what is there to do in laredo tx?,Veterans Field
51,http://www.freebase.com/view/en/tony_soprano,what season did tony soprano get shot?,The Sopranos
52,http://www.freebase.com/view/en/san_francisco_giants,where do the san francisco giants play home games?,AT&T Park
53,http://www.freebase.com/view/en/william_jennings_bryan,what year did william jennings bryan run for president?,1900 Democratic National Convention
54,http://www.freebase.com/view/en/frederick_douglass,what was the name of frederick douglass book?,"Narrative of the Life of Frederick Douglass, an American Slave"
55,http://www.freebase.com/view/en/victoria_of_the_united_kingdom,who was queen victoria's parents called?,"Prince Edward, Duke of Kent and Strathearn"
56,http://www.freebase.com/view/en/sally_field,what movies did sally field win an oscar for?,Places in the Heart
57,http://www.freebase.com/view/en/sherlock_holmes,what is the first book sherlock holmes appeared in?,A Study in Scarlet
58,http://www.freebase.com/view/en/michael_weston,what type of car does michael weston drive?,Wishcraft
59,http://www.freebase.com/view/en/lena_river,where does lena river begin and end?,Baikal Mountains
60,http://www.freebase.com/view/en/portuguese,what countries do people speak portuguese?,Brazil
61,http://www.freebase.com/view/en/pittsburgh,where to exchange euros in pittsburgh?,Allegheny County
62,http://www.freebase.com/view/en/walt_disney,what are the names of walt disney kids?,Diane Disney Miller
63,http://www.freebase.com/view/en/bush,who is in the band bush?,Dave Parsons
64,http://www.freebase.com/view/en/tupac_shakur,what was tupac name in juice?,Bishop
65,http://www.freebase.com/view/en/austraila,what timezone is australia gmt?,UTC+8
66,http://www.freebase.com/view/en/maggie_grace,who does maggie grace play in taken?,Kim
67,http://www.freebase.com/view/en/louis_armstrong,what style of music did louis armstrong play?,Jazz
68,http://www.freebase.com/view/en/sydney,when is summer in australia sydney?,City of Sydney
69,http://www.freebase.com/view/en/joey_lawrence,what tv show did joey lawrence play on?,Blossom
70,http://www.freebase.com/view/en/denver,what timezone is denver co?,Mountain Time Zone
71,http://www.freebase.com/view/en/brian_austin_green,what character did brian austin green play on 90210?,David Silver
72,http://www.freebase.com/view/en/jackie_french,where does jackie french live?,Australia
73,http://www.freebase.com/view/en/sparta,what form of government was practiced in sparta?,Monarchy
74,http://www.freebase.com/view/en/colorado_rockies,when did the colorado rockies go to the world series?,2007 National League Championship Series
75,http://www.freebase.com/view/en/peter_parker_spider_man,who was peter parker's first girlfriend?,Marvel Comics
76,http://www.freebase.com/view/en/matt_lauer,what college did matt lauer attend?,Ohio University
77,http://www.freebase.com/view/en/london,where to go in london england?,Regent's Park
78,http://www.freebase.com/view/en/joan_miro,what school did joan miro attend?,Cercle Artístic de Sant Lluc
79,http://www.freebase.com/view/en/france,where did france colonise?,Réunion
80,http://www.freebase.com/view/en/vincent_van_gogh,who was vincent van gogh inspired by?,Jozef Israëls
81,http://www.freebase.com/view/en/jacksonville,where to get married in jacksonville nc?,Atlantic Beach
